record_id,polymer_name,repeat_unit_smiles,polymer_class,tg_value,tg_unit,tg_std,measurement_method,source_id,source_type,doi,extraction_method,notes,zenodo_row_index,review_status
rec_zen_00000,,[*]#C[SiH2]C#Cc1cccc(C#[*])c1,Polysiloxanes,345.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=345.15; n_points=1; reliability=black,0,imported_from_zenodo
rec_zen_00001,,[*]#Cc1cccc(C#C[SiH](C#[*])c2ccccc2)c1,Polysiloxanes,358.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=358.15; n_points=1; reliability=black,1,imported_from_zenodo
rec_zen_00002,,[*]#Cc1ccccc1C#C[SiH](C#[*])c1ccccc1,Polysiloxanes,344.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=344.15; n_points=1; reliability=black,2,imported_from_zenodo
rec_zen_00003,,[*]/C(=C(/[*])c1ccc(C(C)(C)C)cc1)c1ccccc1,Polyvinyls,473.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=473.15; n_points=1; reliability=black,3,imported_from_zenodo
rec_zen_00004,,[*]/C(=C(/[*])c1ccc(CCCC)cc1)c1ccccc1,Polyvinyls,473.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=473.15; n_points=1; reliability=black,4,imported_from_zenodo
rec_zen_00005,,[*]/C(=C(/[*])c1ccc(Oc2ccccc2)cc1)c1ccccc1,Polyvinyls,473.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=473.15; n_points=1; reliability=black,5,imported_from_zenodo
rec_zen_00006,,[*]/C(=C(/[*])c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,Polyvinyls,523.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=523.15; n_points=1; reliability=black,6,imported_from_zenodo
rec_zen_00007,,[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccccc1,Polyvinyls,473.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=473.15; n_points=1; reliability=black,7,imported_from_zenodo
rec_zen_00008,,[*]/C(=C(/[*])c1cccc([Ge](C)(C)C)c1)c1ccccc1,Polyvinyls,473.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=473.15; n_points=1; reliability=black,8,imported_from_zenodo
rec_zen_00009,,[*]/C(=C(/[*])c1cccc([Si](C)(C)C)c1)c1ccccc1,Polyvinyls,473.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=473.15; n_points=1; reliability=black,9,imported_from_zenodo
rec_zen_00010,,[*]/C(C#N)=C/c1cc(C=C(C#N)c2ccc3c(c2)C(CCCCCCCC)(CCCCCCCC)c2cc([*])ccc2-3)cc(N(c2ccccc2)c2ccccc2)c1,Polyphenylenes,409.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=409.15; n_points=1; reliability=black,10,imported_from_zenodo
